person_age,cb_person_cred_hist_length,loan_amnt,loan_percent_income,cb_person_default_on_file,loan_grade,loan_int_rate,person_income,person_home_ownership,loan_status,person_emp_length,loan_intent
1.0,0.8046945748564278,0.06626947840698007,-0.05631689709302709,0.0,0.0,0.012218490601267479,0.14499619405487796,0.0029800286472534887,-0.03234485435089999,0.10148567773939488,0.011099768853178659
0.8046945748564278,1.0,0.044696905292651655,-0.034808720129104,0.0,0.000682106342693106,0.013968281580437104,0.09288893644070277,0.0,-0.02271508448912486,0.06655830978456458,0.004323293133813455
0.06626947840698007,0.044696905292651655,1.0,0.6548875218971375,0.0,0.01161245772443661,0.10630650242151643,0.407376284251839,0.00044152586452774834,0.08509918786450257,0.10613813671388707,0.0
-0.05631689709302709,-0.034808720129104,0.6548875218971375,1.0,0.004040487987591451,0.0019846753039341205,0.12421659278284708,-0.36462021567681474,0.004657244055778196,0.3151639411351431,-0.058718525496164096,0.00120874580242947
0.0,0.0,0.0,0.004040487987591451,1.0,0.6328419959584964,0.14106404562958985,0.0,0.06592163249568701,0.016456682436324487,0.00412995788699085,0.009931499333439998
0.0,0.000682106342693106,0.01161245772443661,0.0019846753039341205,0.6328419959584964,1.0,0.5014995122529469,0.1230871325510664,0.08625903824268322,0.05722383392239345,0.0010660533380091512,0.016688562190336303
0.012218490601267479,0.013968281580437104,0.10630650242151643,0.12421659278284708,0.14106404562958985,0.5014995122529469,1.0,-0.03428299876721696,0.012458953030193983,0.3200622053575606,-0.06562235800769695,0.0008684882926107359
0.14499619405487796,0.09288893644070277,0.407376284251839,-0.36462021567681474,0.0,0.1230871325510664,-0.03428299876721696,1.0,0.33070838952727605,-0.2710989027743345,0.20913826546094336,0.07575533501506701
0.0029800286472534887,0.0,0.00044152586452774834,0.004657244055778196,0.06592163249568701,0.08625903824268322,0.012458953030193983,0.33070838952727605,1.0,0.03142843302418419,0.01393680474211074,0.08791658221256332
-0.03234485435089999,-0.02271508448912486,0.08509918786450257,0.3151639411351431,0.016456682436324487,0.05722383392239345,0.3200622053575606,-0.2710989027743345,0.03142843302418419,1.0,-0.09656257123358697,0.0
0.10148567773939488,0.06655830978456458,0.10613813671388707,-0.058718525496164096,0.00412995788699085,0.0010660533380091512,-0.06562235800769695,0.20913826546094336,0.01393680474211074,-0.09656257123358697,1.0,0.0014585517689828704
0.011099768853178659,0.004323293133813455,0.0,0.00120874580242947,0.009931499333439998,0.016688562190336303,0.0008684882926107359,0.07575533501506701,0.08791658221256332,0.0,0.0014585517689828704,1.0
