Cluster,person_home_ownership,loan_intent,loan_grade,cb_person_default_on_file,"('person_age', 'mean')","('person_age', 'std')","('person_income', 'mean')","('person_income', 'std')","('person_emp_length', 'mean')","('person_emp_length', 'std')","('loan_amnt', 'mean')","('loan_amnt', 'std')","('loan_int_rate', 'mean')","('loan_int_rate', 'std')","('loan_percent_income', 'mean')","('loan_percent_income', 'std')","('cb_person_cred_hist_length', 'mean')","('cb_person_cred_hist_length', 'std')"
0,MORTGAGE,MEDICAL,C,Y,60.0,2.8284271247461774,55524.999999999985,9227.743494484394,31.500000000000007,3.5355339059327413,16250.000000000004,12374.368670764581,13.49,0.0848528137423864,0.245,0.134350288425444,26.0,2.828427124746195
1,MORTGAGE,VENTURE,G,Y,28.280701754385966,5.294047823347432,80521.03508771928,44389.69279733307,5.982456140350878,4.315632829237443,18489.035087719298,7490.84116000741,20.255438596491228,1.085487168732873,0.253859649122807,0.10989856339183408,6.2631578947368425,3.4044420341532873
2,RENT,EDUCATION,A,N,27.69411004556893,6.152307971868371,65993.07671903694,61929.82459039371,4.757396449704142,3.990991668318627,9567.03138815208,6301.289195386236,10.993608447255662,3.2176114534942752,0.16994252873563218,0.10681023937790517,5.785962048561518,4.029760253056547
