Cluster,person_home_ownership,loan_intent,loan_grade,cb_person_default_on_file,"('person_age', 'mean')","('person_age', 'std')","('person_income', 'mean')","('person_income', 'std')","('person_emp_length', 'mean')","('person_emp_length', 'std')","('loan_amnt', 'mean')","('loan_amnt', 'std')","('loan_int_rate', 'mean')","('loan_int_rate', 'std')","('loan_percent_income', 'mean')","('loan_percent_income', 'std')","('cb_person_cred_hist_length', 'mean')","('cb_person_cred_hist_length', 'std')"
0,MORTGAGE,MEDICAL,A,N,34.28539626001781,6.588476306146978,85338.7930765806,98368.13598274179,6.331812110418522,5.210773613356675,10108.175645592166,6169.510171414361,10.813104407836152,3.252214640641653,0.1433659839715049,0.08198460405930472,10.235975066785397,4.039900802313344
1,RENT,EDUCATION,A,N,24.55857493410888,2.6344072690532796,57701.03989820958,32138.232073721065,3.990729800963374,2.9925231684357336,5280.096337362539,2847.262557579548,10.181901299645553,3.1093088478103588,0.10364446060165411,0.05184634732677236,3.6441879487412523,1.74345311905491
2,RENT,EDUCATION,B,N,25.09675036927622,3.0467546553108815,57367.05043258071,32140.670276224602,4.168073433213758,3.190568217146169,14085.856720827178,6042.241895253636,12.163241190124499,3.038785464169881,0.27261975100232116,0.0985211166370202,4.061405359780545,2.1145386800280983
